Vmag,Plx,e_Plx,B-V,SpType,Amag,TargetClass
10.12,0.79,1.11,0.686,G5V,14.608135,Giant
8.28,13.44,1.08,0.524,G2V,18.921997,Giant
9.18,4.51,3.63,0.604,F7/F8V,17.450882,Giant
6.07,4.39,0.6,1.575,M2III,14.282322,Dwarf
8.69,0.95,1.22,1.08,K0III,13.578617,Dwarf
9.56,-0.06,1.43,0.006,B9V,8.450757,Giant
8.88,2.79,0.81,1.143,K0III,16.10802,Dwarf
6.15,46.15,0.64,0.624,G1/G2V,19.470858,Giant
7.74,6.55,1.39,1.143,K1III,16.821205,Dwarf
8.79,2.99,1.05,1.453,K4III,16.168356,Dwarf
10.27,1.52,1.64,0.53,F8V,16.179218,Giant
8.77,35.63,1.03,0.96,K2V,21.52908,Giant
8.32,1.67,0.72,0.034,B9.5V,14.433582,Giant
8.29,4.0,0.73,0.432,F3V,16.3003,Giant
8.4,7.88,1.34,0.532,F8IV/V,17.88263,Giant
5.37,10.73,0.48,0.049,A1Vn,15.522998,Giant
8.48,3.09,2.35,0.048,B9IV,15.929792,Giant
7.87,1.84,0.72,1.47,K4III,14.194089,Dwarf
9.83,19.44,1.07,0.915,K2/K3V:,21.273481,Giant
8.99,6.91,1.46,0.559,F5V,18.18739,Giant
8.94,8.95,0.96,0.451,F3V,18.699116,Giant
6.54,14.65,0.7,0.389,F3IV/V,17.36919,Giant
8.54,2.82,0.75,0.39,F0III/IV,15.791245,Giant
7.73,22.64,0.94,0.619,G3/G5V,19.504383,Giant
8.76,4.19,0.86,1.101,G8III,16.87107,Dwarf
8.49,2.86,1.33,1.72,K0IV,15.77183,Giant
8.51,1.08,1.21,0.23,B4III,13.677119,Dwarf
4.06,15.89,0.71,1.356,K3III,15.06562,Dwarf
7.16,4.36,0.71,0.067,A1V,15.357432,Giant
7.9,2.78,0.9,-0.056,B8Vn,15.120224,Giant
9.08,6.43,0.9,0.381,F0V,18.121056,Giant
7.49,2.2,0.64,1.558,K4/K5III,14.202113,Dwarf
7.79,10.2,1.1,0.415,F2V,17.833,Giant
9.01,0.24,2.06,-0.012,B9IV,10.9110565,Giant
7.15,5.0,0.9,1.2,K3III,15.64485,Dwarf
7.52,3.77,0.82,-0.038,B8/B9III,15.401707,Dwarf
6.89,1.97,0.98,1.662,M1III,13.362331,Dwarf
6.34,26.14,0.79,0.5,F7V,18.426527,Giant
9.31,4.11,1.32,0.959,G6/G8IV,17.37921,Giant
9.72,9.92,1.46,0.557,G1V,19.702559,Giant
6.44,21.42,0.79,0.408,F3V,18.094099,Giant
8.99,9.11,1.22,0.7,G3V,18.787592,Giant
9.75,6.43,1.65,0.587,F8/G0V,18.791054,Giant
8.02,6.35,1.76,0.392,F0/F2V,17.033869,Giant
8.62,2.53,1.08,0.877,G8III,15.635603,Dwarf
8.06,19.17,0.87,0.622,G2V,19.47311,Giant
6.72,30.43,0.78,0.532,F7V,19.13651,Giant
8.38,5.46,1.02,0.999,K0III/IV,17.065964,Giant
6.78,5.14,0.84,1.243,K1III,15.334816,Dwarf
8.68,10.24,1.21,0.559,F8V,18.731499,Giant
7.69,7.83,0.78,0.317,F0IV,17.15881,Giant
8.65,8.83,0.91,0.481,F5V,18.379803,Giant
6.31,39.64,0.71,0.537,F7.7V,19.300667,Giant
8.96,13.5,1.29,0.544,F7/F8V,19.61167,Giant
7.19,29.78,1.18,0.689,G3V,19.559624,Giant
8.59,1.04,1.28,1.308,K2IV,13.675167,Giant
6.81,5.62,0.51,-0.03,A0V,15.5586815,Giant
8.15,1.28,2.73,0.266,B2Vn,13.686049,Giant
8.96,15.75,0.91,0.813,K0V,19.946404,Giant
6.6,2.6,0.52,-0.139,B8IVwe...,13.674867,Giant
8.29,11.09,1.07,0.499,F7IV,18.514656,Giant
9.29,5.85,0.89,0.484,F6V,18.125778,Giant
7.61,1.01,1.15,0.36,B1/B2II,12.631607,Dwarf
5.16,1.59,0.65,0.369,A2Ia,11.1669855,Dwarf
6.88,38.31,2.63,0.629,G2V,19.79656,Giant
9.25,1.64,1.56,0.988,G8/K0III,15.324219,Dwarf
7.69,5.49,0.9,0.135,A2V,16.387861,Giant
8.44,0.32,1.22,-0.033,B7V,10.96575,Giant
8.63,3.19,0.9,1.043,K0III,16.148954,Dwarf
9.27,2.12,1.18,-0.014,B9IV/V,15.90168,Giant
7.51,10.33,1.02,0.287,A7V,17.580502,Giant
8.92,1.13,1.12,1.198,K1III,14.185392,Dwarf
6.04,7.58,0.82,0.021,A0Vnn,15.438346,Giant
8.38,12.36,1.01,0.863,G6IV,18.840092,Giant
8.49,1.07,0.79,-0.1,O9III,13.636919,Dwarf
8.7,13.2,0.86,0.577,G0V,19.30287,Giant
6.01,26.72,0.53,0.427,F6V,18.144182,Giant
7.56,6.82,0.99,0.231,A6IV,16.728922,Giant
2.74,84.53,1.18,0.368,F0V+...,17.375055,Giant
5.45,17.82,0.66,0.055,A1V,16.704538,Giant
6.5,3.98,0.69,-0.094,B6V,14.499415,Giant
8.39,8.29,1.16,0.43,F3V,17.982773,Giant
6.35,5.28,0.96,-0.044,B9Vn,14.963169,Giant
6.74,8.56,1.11,0.94,G8V,16.402369,Giant
7.05,8.39,0.86,0.314,A2V+...,16.66881,Giant
6.21,9.78,0.57,-0.006,A0V,16.161694,Giant
7.1,5.54,0.91,0.065,A0/A1IV,15.817549,Giant
8.66,0.42,1.39,1.43,K4III,11.776246,Dwarf
9.03,13.74,1.42,0.689,G5V,19.719933,Giant
9.99,44.41,1.51,1.336,K5V,23.227404,Giant
8.14,6.26,1.0,0.341,F0IV,17.122871,Giant
9.96,2.09,1.7,0.449,F0IV/V,16.560732,Giant
7.32,6.93,0.55,0.248,A4III/IV,16.523666,Giant
7.86,6.21,0.94,0.015,A0V,16.825459,Giant
8.18,2.62,1.13,1.135,K1III,15.271507,Dwarf
6.54,7.78,1.06,0.188,A3V,15.994898,Giant
6.41,2.97,0.98,-0.149,B3V,13.773782,Giant
4.51,16.97,0.77,0.062,A1V,15.65841,Giant
8.37,8.37,1.02,0.643,G3V,17.983627,Giant
9.55,4.33,1.71,0.777,G8V,17.73244,Giant
8.8,9.45,1.41,0.47,F5V,18.677158,Giant
7.25,10.89,1.03,1.019,K2III,17.435139,Dwarf
9.1,4.15,1.12,0.233,A5IV/V,17.19024,Giant
8.68,1.83,1.17,1.507,K4III,14.992256,Dwarf
4.64,57.09,0.72,0.413,F5IV-V,18.4228,Giant
6.38,14.85,0.73,0.428,F5IV-V,17.238632,Giant
8.59,2.68,0.74,1.204,K1IIICN...,15.730675,Dwarf
6.95,1.59,0.57,-0.148,B2V,12.956985,Giant
7.46,3.79,0.66,1.163,K1III,15.353196,Dwarf
8.02,2.76,0.87,0.005,B9IV,15.224546,Giant
6.55,6.39,0.96,-0.005,A0V,15.577504,Giant
8.7,8.69,1.72,0.586,F7V,18.3951,Giant
8.08,7.8,1.11,0.419,F2/F3V,17.540474,Giant
8.43,2.42,1.16,0.199,A1V,15.349077,Giant
5.89,26.04,0.83,0.462,F5V,17.968204,Giant
9.94,2.43,1.57,0.93,K0III,16.86803,Dwarf
7.74,3.46,0.61,0.03,B9.5V,15.43538,Giant
8.82,44.34,1.31,1.137,K4V,22.053978,Giant
9.53,8.62,1.83,0.485,F6V,19.207535,Giant
4.83,3.89,0.6,1.419,K2/K3III,12.779748,Dwarf
8.41,5.6,1.2,0.52,F5V,17.15094,Giant
9.84,5.99,1.71,0.716,G5/G6V,18.727135,Giant
6.34,5.17,0.91,0.214,A5IIIm...,14.907453,Dwarf
8.78,8.03,1.3,0.08,B9V,18.303577,Giant
6.3,3.4,0.83,1.34,K2III,13.957395,Dwarf
6.23,1.42,0.84,-0.036,B9.5III,11.991442,Dwarf
8.87,5.27,1.3,1.058,K0III,17.479053,Dwarf
8.27,10.68,1.43,0.637,G0IV,18.412857,Giant
6.08,13.49,0.52,0.489,A8V+...,16.73006,Giant
8.39,18.32,0.78,0.576,G0V,19.704628,Giant
7.91,2.52,0.74,1.0,K0III,14.917003,Dwarf
8.45,4.96,1.18,0.972,K0III,16.927408,Dwarf
8.63,13.77,0.97,0.523,F6V,19.32467,Giant
8.04,3.77,1.11,1.321,K3III,15.921707,Dwarf
9.85,3.08,3.08,0.623,F3V:,17.292753,Giant
9.39,5.91,1.55,0.517,F6/F7V,18.247938,Giant
8.71,6.98,1.67,0.4,F3/F5V,17.929276,Giant
7.75,3.49,0.84,0.375,F0/F2IVm...,15.464128,Giant
9.84,8.25,3.46,0.522,G0V,19.42227,Giant
7.91,12.7,0.82,0.532,F7V,18.429018,Giant
7.95,7.59,0.99,0.321,F0V,17.351208,Giant
9.22,1.95,0.98,1.018,G8III/IV,15.670174,Giant
8.93,10.93,1.2,0.574,F8V,19.1231,Giant
3.03,1.6,1.16,0.537,F0Ia,9.0506,Dwarf
8.58,0.46,1.38,1.573,K3/K4III,11.893789,Dwarf
8.59,8.23,1.08,0.572,F8V,18.167,Giant
8.5,17.46,1.65,0.679,G3V,19.71022,Giant
7.37,8.94,0.89,0.501,F6/F7V,17.126688,Giant
5.49,0.95,0.97,1.795,K3III,10.378618,Dwarf
9.18,4.12,2.79,0.453,F0IV/V,17.254486,Giant
8.98,1.27,1.68,0.005,B9.5IV/V,14.499018,Giant
8.47,2.25,0.81,1.013,G8III,15.230913,Dwarf
8.23,13.89,1.01,0.511,G0III,18.94351,Dwarf
7.42,-0.54,0.83,0.107,B0.5Iab,11.081968,Dwarf
9.15,11.17,1.31,0.611,G0V,19.390266,Giant
7.76,0.11,1.22,1.176,G5II,7.966964,Dwarf
6.05,5.45,0.52,0.043,A2V,14.731983,Giant
8.28,0.04,0.83,0.657,F3III,6.2902994,Dwarf
8.09,3.84,0.88,1.564,M1III,16.011658,Dwarf
8.06,15.03,0.98,0.475,F5V,18.944796,Giant
9.52,7.87,1.02,0.798,G5V,18.999874,Giant
7.93,7.33,0.75,0.378,F2V,17.25552,Giant
7.76,1.4,1.01,-0.026,B7V,13.490641,Giant
6.05,3.65,0.8,-0.128,B3IV,13.861465,Giant
8.92,6.7,2.25,0.623,G0V,18.050373,Giant
8.34,9.19,0.75,0.424,F2V,18.156578,Giant
8.16,3.4,0.84,1.356,K2III/IV,15.817394,Giant
8.57,1.61,1.16,0.188,A6V,14.604129,Giant
9.71,15.99,1.52,1.115,K2V,20.72924,Giant
9.84,7.24,1.64,0.523,F7V,19.138693,Giant
6.99,4.31,0.82,0.023,B6V,15.162386,Giant
8.13,12.31,0.72,0.414,F5V,18.581291,Giant
7.22,2.09,0.94,0.778,G8/K0III+..,13.820732,Dwarf
8.15,2.92,0.62,-0.081,B7IV/V,15.476913,Giant
8.76,9.43,1.24,0.638,G2IV,18.632559,Giant
5.91,8.37,0.76,-0.11,B8V,15.523627,Giant
8.58,2.47,1.0,0.101,A1V,15.543485,Giant
6.12,1.7,0.75,-0.076,B4V,12.272244,Giant
7.0,3.07,0.88,-0.093,B5V,14.435692,Giant
7.28,3.26,0.63,0.885,G8/K0III+..,14.846088,Dwarf
7.97,2.06,0.77,-0.162,B2III/IV,14.539335,Giant
8.07,5.24,1.0,1.14,K2III,16.666656,Dwarf
8.44,1.11,0.81,0.4,B0.5Iab,13.666615,Dwarf
8.04,5.4,0.82,0.086,A1/A2V,16.70197,Giant
8.98,2.92,0.85,1.274,K2/K3III,16.306913,Dwarf
9.15,11.94,1.22,0.747,G3/G5V,19.535023,Giant
6.35,6.91,0.85,0.201,A4V,15.54739,Giant
7.65,3.12,0.79,1.405,K3III,15.120773,Dwarf
8.16,40.32,1.26,0.9,K2V,21.187603,Giant
7.23,2.43,0.62,-0.121,B6V,14.158031,Giant
6.58,6.88,0.76,0.99,K0III,15.767942,Dwarf
8.76,2.63,1.08,0.982,G8IV,15.859779,Giant
8.97,5.96,1.19,0.465,F5V,17.846231,Giant
8.23,1.84,0.87,-0.042,B8/B9V,14.554089,Giant
10.74,4.59,1.8,0.804,G0V,19.049065,Giant
6.82,38.92,0.67,0.603,G1V,19.770864,Giant
6.72,1.9,0.67,-0.121,B5IV/V,13.113768,Giant
9.43,7.19,1.26,0.568,F7/F8V,18.713646,Giant
4.88,9.55,0.53,-0.154,B5V,14.780017,Giant
5.4,10.04,0.76,1.12,K1III,15.4086685,Dwarf
9.87,10.86,1.44,0.688,G5V,20.049149,Giant
8.22,8.35,1.16,0.6,F7V,17.828432,Giant
10.08,23.05,2.73,1.271,M0V,21.893354,Giant
9.06,12.85,0.89,0.623,G2V,19.604515,Giant
8.68,3.85,1.49,0.3,A6V,16.607304,Giant
9.14,10.56,1.43,0.592,G0V,19.25832,Giant
10.13,5.93,1.89,0.633,G3V,18.995274,Giant
7.76,6.64,0.97,0.249,A0V,16.870842,Giant
9.46,12.02,16.34,0.622,G1IV/V,19.859524,Giant
8.63,1.81,1.04,1.304,K3III,14.918392,Dwarf
8.84,2.58,1.08,-0.104,B8V,15.898098,Giant
6.73,1.37,0.72,0.348,A5II,12.413603,Dwarf
9.15,9.08,0.85,0.59,F7V,18.94043,Giant
6.07,6.65,0.79,1.193,K1III-IV,15.184109,Giant
8.82,-3.01,3.83,1.096,A7V:,16.212833,Giant
6.74,38.89,0.53,0.667,G5IV-V,19.68919,Giant
8.71,3.66,1.27,1.114,K0III,16.527405,Dwarf
9.17,24.81,1.55,0.889,K2IV/Vp...,21.143133,Giant
8.58,-2.4,1.27,3.315,M0I-M4Ia,15.481056,Dwarf
9.64,7.81,1.37,1.016,K1IV,19.103256,Giant
8.97,6.77,1.34,0.412,F2V,18.122944,Giant
7.69,3.88,0.76,0.927,G5IV,15.634159,Giant
8.07,1.72,0.83,1.15,K1III,14.2476425,Dwarf
7.51,2.67,0.86,0.158,A2/A3IV/V,14.642557,Giant
8.77,9.65,0.73,0.46,F5V,18.692638,Giant
8.81,7.54,1.11,0.385,F0V,18.196857,Giant
6.38,13.55,0.79,0.12,A3IV/V,17.039696,Giant
6.93,7.58,0.77,0.001,A0V,16.328346,Giant
7.54,3.39,0.92,-0.041,B4:Vne,15.190999,Giant
7.58,6.29,0.62,0.087,A1/A2V,16.573254,Giant
5.9,10.3,0.58,0.173,A7Vni,15.964188,Giant
10.07,11.47,1.78,0.685,G6V,20.367817,Giant
8.2,4.15,1.01,1.4,K2IV,16.290241,Giant
8.14,6.37,0.94,0.354,F0IV,17.160698,Giant
9.04,3.45,1.46,0.125,B9.5V,16.729095,Giant
9.26,1.38,0.92,0.895,G6IV,14.959396,Giant
8.68,1.05,1.39,1.34,K3III/IV,13.785947,Giant
5.7,7.97,0.78,0.006,B9.5V,15.207292,Giant
8.58,1.83,1.48,0.933,G6III/IV,14.892256,Giant
7.19,4.1,0.84,1.484,K4III,15.25392,Dwarf
8.03,0.36,1.06,1.444,K3III,10.811512,Dwarf
7.42,9.55,0.76,0.191,A1Vs,17.320017,Giant
9.68,6.27,1.46,0.569,F6V,18.666338,Giant
7.31,3.03,0.87,0.119,A1/A2IV/V,14.717213,Giant
6.47,7.28,0.97,0.087,A1V,15.780657,Giant
6.99,18.65,0.79,0.459,F5V,18.343395,Giant
8.09,3.07,1.1,0.832,G6IV,15.525692,Giant
8.61,3.3,0.83,1.561,M3III,16.202568,Dwarf
9.34,2.38,1.39,1.053,G8/K0III,16.222885,Dwarf
8.87,10.4,1.14,0.62,G3IV,18.955166,Giant
8.15,-0.06,1.35,0.01,B8III,7.040756,Dwarf
8.89,0.19,1.2,0.103,B8/B9III,10.283768,Dwarf
6.14,28.83,0.98,0.407,F1V,18.439222,Giant
7.86,10.19,0.89,0.498,F3/F5V,17.900871,Giant
9.2,2.7,1.32,0.969,G8III/IV,16.35682,Giant
8.4,23.21,1.15,0.78,K0V,20.228374,Giant
8.82,7.04,1.1,0.584,F8V,18.057863,Giant
7.83,5.97,1.03,0.321,F0V,16.709871,Giant
5.75,7.25,1.0,1.045,K0III,15.05169,Dwarf
7.71,27.79,4.98,0.743,G7V,19.929443,Giant
9.12,2.25,0.93,0.98,G8III,15.880913,Dwarf
7.8,0.52,1.06,0.1,B1.5V,11.380016,Giant
9.16,15.36,1.34,0.773,G8V,20.091957,Giant
8.62,21.72,1.21,0.73,G6V,20.304298,Giant
6.02,34.87,0.57,0.581,G1V,18.73226,Giant
8.93,1.89,1.49,1.27,K1III,15.312309,Dwarf
7.85,11.47,0.96,0.365,F2V,18.147818,Giant
8.55,8.18,0.88,0.401,F2V,18.113766,Giant
6.9,15.91,0.73,0.468,F6V,17.90835,Giant
7.96,-1.12,1.3,0.09,B1V,13.206091,Giant
9.21,24.02,1.22,0.846,K0V,21.112865,Giant
9.02,8.36,1.1,0.614,G1V,18.631031,Giant
7.98,1.58,0.63,0.019,B3III,13.973286,Dwarf
9.04,8.61,1.3,0.642,G2V,18.715015,Giant
9.25,3.89,1.45,0.492,A5III/IV,17.199749,Giant
9.87,3.1,1.17,0.05,A0V,17.326809,Giant
6.31,6.81,0.72,0.04,A0IV,15.475735,Giant
8.24,1.66,2.1,0.098,A0V,14.34054,Giant
9.16,0.02,1.31,1.51,K2/K3IV/V,5.6651497,Giant
9.46,4.77,1.47,0.944,G8/K0III,17.852592,Dwarf
5.25,17.86,0.75,0.336,F2III,16.509407,Dwarf
5.65,54.92,0.45,0.6,G3IV,19.348652,Giant
8.59,5.9,1.3,0.445,F0V,17.44426,Giant
7.76,4.18,1.97,0.194,A1/A2V,15.865881,Giant
3.51,11.9,0.71,1.571,K5III,13.887735,Dwarf
8.42,1.91,2.2,1.22,A2V...,14.825167,Giant
11.02,15.11,4.75,1.28,K5Ve,21.916323,Giant
8.25,9.9,1.1,0.44,F8V,18.228176,Giant
7.82,4.15,0.96,0.254,A5IV,15.91024,Giant
6.55,8.14,1.08,1.05,F7V...,16.103123,Giant
6.97,4.83,0.98,0.058,A1V,15.389734,Giant
6.35,7.75,1.05,1.032,G9III,15.796509,Dwarf
8.06,4.55,1.04,0.284,A9V,16.350058,Giant
8.15,0.29,0.93,-0.039,B0.5III:,10.461989,Dwarf
7.16,4.49,1.02,-0.017,B8II/III,15.421231,Dwarf
4.88,6.09,0.86,1.013,K0III,13.803086,Dwarf
8.6,2.26,1.07,0.392,F0V,15.370543,Giant
9.87,9.02,1.59,0.51,F7V,19.646034,Giant
8.97,3.66,0.75,0.879,G8/K0III,16.787407,Dwarf
8.35,3.99,0.93,0.107,A0V,16.354866,Giant
7.54,3.55,0.79,1.35,K3III,15.2911415,Dwarf
9.5,5.93,0.96,0.579,F7V,18.365273,Giant
9.43,14.69,3.6,0.896,K1V,20.26511,Giant
7.98,1.84,0.89,1.293,K2III,14.304089,Dwarf
9.03,6.93,1.26,0.53,F6V,18.233665,Giant
7.94,2.25,1.64,0.199,B9V,14.700912,Giant
7.81,8.22,0.96,0.315,F2IV/V,17.38436,Giant
9.32,6.26,1.55,0.479,F0V,18.302872,Giant
10.93,88.86,1.99,1.525,M2V:,25.67353,Giant
8.59,3.8,0.98,0.202,A3IV,16.488918,Giant
7.3,24.65,1.44,0.525,F9V,19.259085,Giant
7.18,3.61,0.81,1.301,K1III,14.967537,Dwarf
7.51,4.43,0.55,0.048,B9IV/V,15.74202,Giant
8.27,8.66,0.73,0.407,F0/F2V,17.95759,Giant
5.52,13.08,0.89,1.132,K0III,16.103039,Dwarf
10.22,12.33,1.7,-0.219,B9V,20.674816,Giant
7.44,3.47,0.94,1.304,K2III,15.141647,Dwarf
8.11,5.97,0.88,0.455,F0IV,16.989872,Giant
8.3,2.55,1.12,0.378,F2III,15.332701,Dwarf
8.82,4.03,0.86,1.009,K0III,16.846525,Dwarf
9.49,4.17,1.04,0.704,G6IV,17.59068,Giant
8.0,8.12,1.26,0.453,F5V,17.54778,Giant
6.54,25.99,0.74,0.509,F5V,18.614033,Giant
7.8,4.6,0.91,0.992,K0II/III,16.113789,Dwarf
8.43,4.4,1.09,0.609,F5/F6V,16.647263,Giant
8.53,4.31,1.2,1.379,K3III,16.702385,Dwarf
7.55,2.69,0.9,1.484,K4/K5III,14.698762,Dwarf
8.66,2.38,0.79,1.358,K3III,15.542885,Dwarf
6.6,31.17,1.55,0.586,F9V,19.068684,Giant
7.32,1.6,1.05,1.688,K5III,13.340601,Dwarf
8.08,11.12,0.87,0.42,F3V,18.310524,Giant
7.55,9.86,1.0,0.506,F5V,17.519386,Giant
8.16,0.42,0.75,1.659,K5/M0III:,11.276246,Dwarf
8.31,4.67,1.06,0.971,K1IV,16.656586,Giant
9.6,-0.06,4.16,0.367,B9.5V,8.490757,Giant
9.61,7.4,0.99,0.489,F5V,18.956158,Giant
7.84,4.09,1.06,0.173,A3III/IV,15.898617,Giant
5.67,10.63,0.54,1.101,K3III,15.802666,Dwarf
9.34,15.23,0.94,0.695,G6/G8V,20.2535,Giant
6.34,11.38,0.89,0.209,A9V,16.620712,Giant
9.1,6.04,1.33,0.405,F2V,18.005184,Giant
7.11,14.61,0.86,0.336,F2IV,17.93325,Giant
9.22,4.17,1.45,0.529,F5V,17.32068,Giant
8.04,10.33,0.93,0.445,F5V,18.1105,Giant
8.01,4.14,1.23,1.205,K1III,16.095001,Dwarf
8.15,3.02,0.87,1.244,K2III,15.5500345,Dwarf
8.51,5.23,1.43,1.23,K0III,17.102509,Dwarf
8.41,9.65,0.7,0.377,F0V,18.332638,Giant
5.11,36.64,0.49,0.308,A9V,17.929777,Giant
6.22,4.5,0.73,0.97,G7II-III,14.486063,Dwarf
7.62,13.2,0.93,0.465,F5V,18.22287,Giant
8.47,4.23,0.98,0.41,F0IV,16.601704,Giant
9.38,3.4,1.45,0.586,F3IV/V,17.037395,Giant
8.66,2.99,1.09,1.617,M1III,16.038357,Dwarf
6.76,4.03,0.54,-0.073,B5V,14.786526,Giant
8.65,2.64,1.22,0.956,F7/F8II,15.758019,Dwarf
5.51,6.84,0.76,-0.087,B8Vn,14.685281,Giant
9.56,9.64,1.47,0.61,G3V,19.480385,Giant
7.65,1.75,1.18,-0.134,B3IV,13.8651905,Giant
8.92,3.19,0.98,0.028,B9.5V,16.438953,Giant
8.72,7.62,1.26,0.797,G5IV/V,18.129776,Giant
8.64,5.83,1.2,0.154,A0Vs,17.468344,Giant
8.42,0.98,0.93,1.339,K3III,13.376131,Dwarf
9.01,9.18,1.54,0.579,F7V,18.824215,Giant
9.34,1.84,1.04,1.095,K1III,15.664089,Dwarf
5.89,-1.96,0.63,0.2,B5Ia,12.35128,Dwarf
9.64,7.84,1.1,0.678,G6V,19.11158,Giant
8.7,2.66,0.94,1.095,K0III,15.824409,Dwarf
5.07,2.63,0.53,-0.112,B2IV/V,12.169779,Giant
8.11,8.26,1.17,0.722,G3V,17.6949,Giant
9.49,4.96,1.95,0.576,F7V,17.967407,Giant
8.56,20.43,1.09,0.606,G0V,20.111343,Giant
7.84,2.1,0.86,0.085,A2V,14.451097,Giant
8.48,21.21,0.88,0.677,G3V,20.112703,Giant
7.86,1.62,1.03,1.205,G8II,13.907576,Dwarf
9.64,7.26,1.47,0.591,G3V,18.944683,Giant
6.54,3.05,0.53,0.01,B9V,13.961499,Giant
8.63,3.36,0.9,0.739,G3V,16.261696,Giant
8.78,5.51,1.33,0.528,F5V,17.485758,Giant
8.37,7.79,1.08,1.011,K1III+...,17.827686,Dwarf
8.5,5.64,0.98,0.397,F3V,17.256395,Giant
8.37,4.49,0.72,0.084,A0V,16.631231,Giant
8.51,5.32,1.07,0.677,F5V,17.139559,Giant
8.78,7.17,1.28,0.704,G5V,18.057594,Giant
5.45,7.64,0.76,-0.073,B8/B9V,14.865466,Giant
9.51,3.53,1.29,0.443,F2V,17.248875,Giant
8.5,7.31,1.14,0.469,F5V,17.819588,Giant
6.62,7.26,0.83,0.086,A2Vs,15.924684,Giant
8.67,4.12,1.03,1.089,G8III,16.744486,Dwarf
9.03,8.41,1.35,0.746,G5IV,18.65398,Giant
9.52,0.36,1.37,1.004,G8III,12.301514,Dwarf
7.87,6.83,1.45,0.439,F4V,17.042103,Giant
9.2,10.5,1.79,0.593,G2V,19.305946,Giant
8.98,3.59,1.23,0.96,G8III,16.755472,Dwarf
8.9,6.68,1.37,0.488,F0IV,18.023882,Giant
8.68,1.55,0.81,1.342,K2III,14.631659,Dwarf
8.1,4.95,0.94,0.113,A3V,16.573025,Giant
10.75,5.33,2.67,0.948,B3V,19.383636,Giant
9.42,6.0,1.71,0.673,G3V,18.310757,Giant
8.05,6.22,1.19,0.287,A0V,17.018951,Giant
7.54,11.48,1.03,0.5,F3/F5V,17.83971,Giant
8.28,2.67,1.06,1.605,M0III,15.412556,Dwarf
5.95,9.11,0.48,0.971,G8/K0III,15.747592,Dwarf
8.36,9.32,0.77,0.515,F6V,18.207079,Giant
8.29,38.52,1.1,0.685,K3V,21.21843,Giant
9.43,5.42,1.39,0.518,F8V,18.099997,Giant
8.37,7.77,1.89,0.636,G2/G3V,17.822105,Giant
6.8,2.74,1.07,0.066,A1V,13.988753,Giant
8.93,0.86,1.09,1.4,K5V,13.602492,Giant
7.24,2.16,0.66,1.349,K2III,13.912269,Dwarf
9.62,12.75,1.38,0.694,G6V,20.147552,Giant
7.8,5.85,0.79,0.34,F0/F2V,16.63578,Giant
7.7,11.33,1.16,0.908,G8IV,17.97115,Giant
9.87,48.36,1.16,1.251,M1.5Ve,23.29243,Giant
8.3,8.06,0.71,0.412,F2V,17.831676,Giant
7.85,4.85,0.89,0.997,G8III,16.278708,Dwarf
6.02,3.11,0.97,-0.04,A0Vs,13.483803,Giant
8.8,5.6,0.82,0.458,F5V,17.54094,Giant
8.27,1.36,1.1,-0.086,B8/B9II,13.9376955,Dwarf
8.18,2.68,1.16,0.308,B2III,15.320675,Dwarf
8.22,4.77,0.66,0.053,A0/A1V,16.61259,Giant
8.31,25.56,1.09,0.69,G6V,20.347805,Giant
5.46,6.86,0.75,0.064,A2V,14.641621,Giant
8.26,3.84,1.15,1.16,K1III,16.181656,Dwarf
9.27,4.69,1.23,0.569,F6V,17.625866,Giant
8.15,6.08,0.7,0.259,A8V,17.069517,Giant
8.92,2.96,0.84,1.202,K1III,16.276459,Dwarf
7.96,5.27,0.99,0.404,F2/F3III,16.569054,Dwarf
10.1,1.15,1.84,0.549,A9V,15.403489,Giant
8.76,-2.91,2.23,0.144,A3V,16.079464,Giant
9.26,10.06,0.79,0.552,F7V,19.272991,Giant
10.06,16.36,1.41,0.841,K2V,21.128918,Giant
8.58,11.21,0.99,0.674,G3V,18.828028,Giant
5.63,70.07,0.71,0.618,G1.5Vb,19.857658,Giant
9.85,1.34,1.39,1.189,G8V,15.485524,Giant
9.57,4.63,1.31,0.38,F0V,17.897903,Giant
7.12,7.15,0.67,0.409,F3V,16.39153,Giant
10.62,40.58,1.94,1.439,M2V,23.66156,Giant
8.14,1.49,0.96,1.411,K3III,14.005932,Dwarf
5.67,10.94,0.91,0.012,B9V,15.865086,Giant
8.2,1.17,0.93,1.025,K0III,13.540929,Dwarf
7.86,1.57,0.95,1.419,K4III,13.8394985,Dwarf
8.36,-0.58,1.26,1.293,K2/K3III:+.,12.177139,Dwarf
9.04,1.78,1.23,1.15,K2III,15.2921,Dwarf
8.72,1.61,1.11,0.372,F0V,14.754129,Giant
9.55,10.79,1.44,0.622,G3/G5V,19.715107,Giant
7.87,5.63,0.85,0.029,A0V,16.622543,Giant
7.63,5.58,0.71,0.983,K0III,16.36317,Dwarf
8.1,6.17,0.9,0.276,A6IV,17.051426,Giant
9.02,2.78,0.98,1.028,G8/K0III,16.240225,Dwarf
9.44,8.4,0.87,0.87,G8V,19.061396,Giant
8.08,1.42,1.06,1.606,K4/K5III,13.841442,Dwarf
6.68,4.79,0.65,0.068,A1V,15.081678,Giant
8.75,4.79,0.82,0.886,G8V,17.151678,Giant
8.51,15.7,1.14,0.52,F7V,19.489498,Giant
7.81,4.73,0.88,0.17,A1V,16.184305,Giant
